127.0.0.1 - - [10/Jan/2021:21:14:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:14:23 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:14:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:14:33 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:14:34 +0900] "POST /ShoppingProject/admin/create.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:14:39 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:26:14 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:26:18 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:26:19 +0900] "POST /ShoppingProject/admin/create.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:26:23 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 4370
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:16 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 4370
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:19 +0900] "POST /ShoppingProject/admin/create.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:26 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:44:22 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 4365
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:44:23 +0900] "POST /ShoppingProject/admin/create.jsp HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:44:30 +0900] "POST /ShoppingProject/Controller HTTP/1.1" 200 5235
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:16:00 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:16:00 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:16:00 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:16:01 +0900] "GET /ShoppingProject/main.jsp HTTP/1.1" 200 1075
